title,price
iPhone 13 (128GB) - Midnight,"₹51,499"
iPhone 15 (128 GB) - Blue,"₹69,900"
iPhone 13 (128GB) - Midnight,"₹77,900"
iPhone 13 (128GB) - Pink,"₹79,900"
iPhone 13 (128GB) - Starlight,"₹51,499"
iPhone 15 Pro Max (256 GB) - Natural Titanium,"₹69,900"
iPhone 13 (128GB) - Blue,"₹50,999"
iPhone 13 (128GB) - Green,"₹69,900"
iPhone 15 (128 GB) - Blue,"₹51,499"
iPhone 13 (128GB) - (Product) RED,"₹59,900"
iPhone 15 Plus (128 GB) - Black,"₹1,59,900"
iPhone 15 Pro Max (256 GB) - Blue Titanium,"₹50,498"
iPhone 15 (256 GB) - Blue,"₹59,900"
iPhone 15 (128 GB) - Green,"₹50,999"
iPhone 15 (128 GB) - Black,"₹69,900"
iPhone 13 (256GB) - Pink,"₹77,900"
iPhone 15 Plus (128 GB) - Blue,"₹79,900"
iPhone 15 Pro Max (1 TB) - Black Titanium,"₹50,499"
